Stage1_Source,Stage1_Source_Amount,Stage2_Receipt_Type,t,pct_of_receipts,pillar2_rank_wt,pillar2_rank,pillar1_rank,pillar1_rank_wt,sigmoid,curve
Miscellaneous Receipts,11516000000,Receipt,-0.75,0.04790030613603088,221.0,4.0,4.0,221.0,0.320821300824607,221.0
Social Insurance and Retirement Receipts,106425000000,Receipt,-0.75,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.320821300824607,380.49688806482726
Estate and Gift Taxes,2015000000,Receipt,-0.75,0.008381305736723013,25.0,8.0,7.6,23.75,0.320821300824607,24.15102662603076
Deficit,88426000000,Deficit,-0.75,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.320821300824607,279.1689124388678
Corporation Income Taxes,5935000000,Receipt,-0.75,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.320821300824607,118.82305100007133
Corporation Income Taxes,5935000000,Receipt,-0.5,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.3775406687981454,119.17187511310858
Social Insurance and Retirement Receipts,106425000000,Receipt,-0.5,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.3775406687981454,379.45325169411416
Customs Duties,2421000000,Receipt,-0.5,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.3775406687981454,71.69690047455313
Excise Taxes,8123000000,Receipt,-0.5,0.03378726873419406,172.0,5.0,4.75,163.4,0.3775406687981454,166.64684975166406
Individual Income Taxes,103981000000,Receipt,-0.5,0.4325044922134966,319.0,2.0,2.1,334.95,0.3775406687981454,328.92822633266957
Estate and Gift Taxes,2015000000,Receipt,-0.5,0.008381305736723013,25.0,8.0,7.6,23.75,0.3775406687981454,24.22192583599768
Miscellaneous Receipts,11516000000,Receipt,-0.5,0.04790030613603088,221.0,4.0,4.0,221.0,0.3775406687981454,221.0
Deficit,88426000000,Deficit,-0.5,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.3775406687981454,278.40320097122503
Social Insurance and Retirement Receipts,106425000000,Receipt,-0.25,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.43782349911420193,378.3440476162987
Excise Taxes,8123000000,Receipt,-0.25,0.03378726873419406,172.0,5.0,4.75,163.4,0.43782349911420193,167.16528209238214
Corporation Income Taxes,5935000000,Receipt,-0.25,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.43782349911420193,119.54261451955234
Individual Income Taxes,103981000000,Receipt,-0.25,0.4325044922134966,319.0,2.0,2.1,334.95,0.43782349911420193,327.9667151891285
Deficit,88426000000,Deficit,-0.25,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.43782349911420193,277.5893827619583
Miscellaneous Receipts,11516000000,Receipt,-0.25,0.04790030613603088,221.0,4.0,4.0,221.0,0.43782349911420193,221.0
